"nombre","provincia","nivel","porcentaje","extranjerizada_ha","total_ha","id"
"Lago Argentino","Santa Cruz","Departamentos por encima del promedio nacional",11,"331748.47999999998",3104064.84,147
"El Cuy","Rio Negro","Departamentos dentro del promedio nacional",0,"1390.1099999999999",1729219.75,148
"Pichi Mahuida","Rio Negro","Departamentos dentro del promedio nacional",1,"23152.669999999998",1574918.56,149
"Adolfo Alsina","Rio Negro","Departamentos dentro del promedio nacional",0,"740.20000000000005",835180.88,150
"Bariloche","Rio Negro","Departamentos por encima del promedio nacional",14,"23050.790000000001",169391.01,151
"Huiliches","Neuquen","Departamentos dentro del promedio nacional",5,"17756.650000000001",383223.93,152
"Catán Lil","Neuquen","Departamentos por encima del promedio nacional",11,"60131.300000000003",539730.21,153
"Almirante Brown","Chaco","Departamentos dentro del promedio nacional",0,"1336.25",1724437.48,154
"Collón Curá","Neuquen","Departamentos por encima del promedio nacional",8,"45339.529999999999",558120.39,155
"Comuna 3","Ciudad Autónoma de Buenos Aires","Sin datos",NA,NA,NA,156
"Robles","Santiago del Estero","Departamentos dentro del promedio nacional",4,"4410.75",120216,157
"Capital","Santiago del Estero","Departamentos dentro del promedio nacional",5,"9402.5799999999999",206056.47,158
"Comuna 14","Ciudad Autónoma de Buenos Aires","Sin datos",NA,NA,NA,159
"Loreto","Santiago del Estero","Departamentos por encima del promedio nacional",8,"25042.84",333335.5,160
"Castelli","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",1,"2147.4499999999998",201892.17,161
"Almirante Brown","Provincia de Buenos Aires","Departamentos por encima del promedio nacional",12,"476.67000000000002",4035.15,162
"Presidente Perón","Provincia de Buenos Aires","Departamentos por encima del promedio nacional",12,"1070.8399999999999",8596.09,163
"Brandsen","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",3,"3001.96",105800.67,164
"Carlos Casares","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",1,"2613.0900000000001",244460.24,165
"Carlos Tejedor","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",1,"5382.9700000000003",374099.89,166
"25 de Mayo","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",1,"5906.3299999999999",455265.41,167
"9 de Julio","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",3,"11639.629999999999",407907.96,168
"Pehuajó","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",1,"4501.1700000000001",437198.59,169
"Trenque Lauquen","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",3,"16103.879999999999",516517.49,170
"General Belgrano","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",2,"2963.1399999999999",178747.87,171
"Monte","Provincia de Buenos Aires","Departamentos por encima del promedio nacional",8,"14137.530000000001",175697.9,172
"Roque Pérez","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",3,"4487.54",150496.13,173
"Olavarría","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",4,"25256.27",708135.94,174
"Merlo","Provincia de Buenos Aires","Departamentos por encima del promedio nacional",7,"474.36000000000001",6431.03,175
"Esteban Echeverría","Provincia de Buenos Aires","Departamentos por encima del promedio nacional",10,"543.95000000000005",5558.35,176
"Arrecifes","Provincia de Buenos Aires","Departamentos por encima del promedio nacional",6,"7127.4899999999998",119049.45,177
"Capitán Sarmiento","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",2,"1035.3",53235.83,178
"Carmen de Areco","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",2,"1721.04",97364.8,179
"Salto","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",3,"4403.1499999999996",154866.59,180
"Exaltación de la Cruz","Provincia de Buenos Aires","Departamentos por encima del promedio nacional",12,"6963.6999999999998",57504.48,181
"San Miguel","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",0,"0.40999999999999998",750.38,182
"San Andrés de Giles","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",2,"2203.1799999999998",110533.67,183
"Junín","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",0,"599.07000000000005",207380.71,184
"Mercedes","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",3,"2845.5900000000001",97868.18,185
"Pilar","Provincia de Buenos Aires","Departamentos por encima del promedio nacional",9,"1742.1400000000001",18926.84,186
"Luján","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",2,"1145.0899999999999",66896.7,187
"Hurlingham","Provincia de Buenos Aires","Sin datos",NA,NA,NA,188
"Morón","Provincia de Buenos Aires","Sin datos",NA,NA,NA,189
"Chacabuco","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",2,"4091.8299999999999",207865.04,190
"Malvinas Argentinas","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",1,"5.9000000000000004",474.42,191
"General San Martín","Provincia de Buenos Aires","Sin datos",NA,NA,NA,192
"Lincoln","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",4,"23380.869999999999",552233.49,193
"Ituzaingó","Provincia de Buenos Aires","Sin datos",NA,NA,NA,194
"General Rodríguez","Provincia de Buenos Aires","Departamentos por encima del promedio nacional",7,"1863.9400000000001",26707.04,195
"Suipacha","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",1,"578.32000000000005",90527.06,196
"Tres de Febrero","Provincia de Buenos Aires","Sin datos",NA,NA,NA,197
"General Felipe Varela","La Rioja","Departamentos dentro del promedio nacional",0,"3.5",918122.8,198
"Chivilcoy","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",1,"1342.49",194312.89,199
"Alberti","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",1,"623.37",107027.63,200
"Bragado","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",2,"4061.5900000000001",208813.33,201
"General Las Heras","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",5,"3273.7600000000002",72101.2,202
"Marcos Paz","Provincia de Buenos Aires","Departamentos por encima del promedio nacional",8,"2938.54",38041.61,203
"General Viamonte","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",0,"551.67999999999995",211320.93,204
"Ezeiza","Provincia de Buenos Aires","Departamentos por encima del promedio nacional",11,"1616.05",14632.8,205
"Florencio Varela","Provincia de Buenos Aires","Departamentos por encima del promedio nacional",10,"1144.51",11522.14,206
"Navarro","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",3,"3954.6900000000001",157030.73,207
"Cañuelas","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",5,"5578.9399999999996",115249.08,208
"San Vicente","Provincia de Buenos Aires","Departamentos por encima del promedio nacional",6,"3261.6300000000001",57787.29,209
"Lobos","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",5,"7931.9499999999998",157357.98,210
"General Alvear","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",2,"7021.9700000000003",311480.77,211
"Quilmes","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",5,"55.549999999999997",1178.6,212
"General La Madrid","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",2,"9697.1700000000001",468766.01,213
"Bolívar","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",1,"5501.3299999999999",471746.38,214
"Balcarce","Provincia de Buenos Aires","Departamentos por encima del promedio nacional",7,"26841.290000000001",401637.36,215
"Tapalqué","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",1,"4517.3599999999997",402552.59,216
"Hipólito Yrigoyen","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",1,"2275.52",163228.56,217
"Dolores","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",0,"856.01999999999998",188450.99,218
"Azul","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",4,"25343.299999999999",637720.38,219
"Daireaux","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",1,"4993.7200000000003",374901.55,220
"Tres Lomas","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",1,"1470.99",117924.59,221
"Ayacucho","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",2,"10674.540000000001",658151.79,222
"Guaminí","Provincia de Buenos Aires","Departamentos por encima del promedio nacional",6,"24946.889999999999",445120.4,223
"Ensenada","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",0,"16.940000000000001",7059.53,224
"Laprida","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",0,"1656.4000000000001",332109.35,225
"San Isidro","Provincia de Buenos Aires","Sin datos",NA,NA,NA,226
"Benito Juárez","Provincia de Buenos Aires","Departamentos por encima del promedio nacional",13,"67951.460000000006",507017.54,227
"Colón","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",3,"2436.0799999999999",92386.6,228
"Figueroa","Santiago del Estero","Departamentos dentro del promedio nacional",5,"29990.07",666148.6,229
"Saavedra","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",0,"1570.6500000000001",329441.11,230
"Monte Hermoso","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",1,"174.59",16028.42,231
"Lobería","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",5,"24226.110000000001",457870.03,232
"Berisso","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",2,"215.49000000000001",9859.57,233
"Tordillo","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",0,"0.059999999999999998",120652.25,234
"Zárate","Provincia de Buenos Aires","Departamentos con alto nivel de extranjerización",25,"12003.639999999999",48394.72,235
"Ramallo","Provincia de Buenos Aires","Departamentos por encima del promedio nacional",8,"6881.0299999999997",90617.3,236
"San Nicolás","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",3,"1679.9300000000001",59650.63,237
"Salavina","Santiago del Estero","Departamentos dentro del promedio nacional",2,"7635.96",356049.58,238
"Pellegrini","Santiago del Estero","Departamentos por encima del promedio nacional",6,"41012.720000000001",732936.02,239
"Avellaneda","Santiago del Estero","Departamentos por encima del promedio nacional",6,"24489.82",389500.23,240
"Moreno","Santiago del Estero","Departamentos por encima del promedio nacional",6,"91581.399999999994",1611751.12,241
"Chacabuco","Chaco","Departamentos dentro del promedio nacional",1,"1498.8099999999999",136930.79,242
"Juárez Celman","Cordoba","Departamentos dentro del promedio nacional",0,"3489.1700000000001",789111.74,243
"Silípica","Santiago del Estero","Departamentos dentro del promedio nacional",1,"1004.8200000000001",117838,244
"Castro Barros","La Rioja","Departamentos dentro del promedio nacional",0,"211.19999999999999",142000,245
"Sanagasta","La Rioja","Departamentos dentro del promedio nacional",0,"0.0",170889.87,246
"Chilecito","La Rioja","Departamentos con alto nivel de extranjerización",15,"71904.289999999994",483920.35,247
"Ángel Vicente Peñaloza","La Rioja","Departamentos dentro del promedio nacional",0,"0.12",310447.63,248
"Colón","Cordoba","Departamentos dentro del promedio nacional",0,"687.00999999999999",221589.06,249
"General Juan Facundo Quiroga","La Rioja","Departamentos dentro del promedio nacional",0,"",258391.97,250
